     1  -1.9541  0.5128  2.5793  1.9263 -0.3889 -2.5589    -0.0914 -0.2268 -0.0873    0.6065  0.7730 -0.0083 -0.1859    1 0 1    8
     2   1.7326  1.6374  2.4977  1.9761 -0.0408  2.5519    -0.0075  0.0462 -0.2919    0.8605  0.1595  0.0110  0.4837    1 0 1    8
     3   2.3580  0.3217 -0.6180 -1.9312 -1.1031  1.6184    -0.0015  0.0015  0.8860   -0.1686 -0.4583  0.7045  0.5150    1 1 1    8
     4  -2.6709  0.8193 -0.8930 -1.4523 -1.2014 -1.4545    -0.2615 -0.1331  0.7859    0.5455  0.1625  0.2645  0.7784    1 1 1    8
     5  -0.6773  1.3132  2.2366 -0.8051  0.3161  2.0154     0.1906 -0.1533 -0.3259    0.7517  0.5730 -0.1880 -0.2669    1 0 0    8
     6   0.8501  0.2908  0.9543  0.6057 -0.6522 -2.0608     0.3853  0.4387  0.5847   -0.2491  0.2728 -0.3765  0.8495    1 0 1    8
     7   0.6116 -0.4167  0.6202  1.8924 -0.5576  1.0968    -0.0697 -0.0489  0.8816    0.2677 -0.1724  0.9287 -0.1898    0 0 1    8
     8   1.0118  0.1522 -0.4206  1.9156  0.3462 -0.3074    -0.0314 -0.0501  0.9076   -0.2092 -0.1340  0.9301  0.2707    0 1 0    8
     9  -2.4446  2.0638 -0.9048 -2.6146 -0.5422  1.5078    -0.6412 -0.5368 -0.0209   -0.3589 -0.6357  0.6802  0.0660    1 1 1    8
    10   2.2880  2.0232  0.6719 -1.2199  0.3625 -1.6340    -0.4022  0.4612 -0.6297    0.5571  0.7985  0.2024 -0.1050    1 0 0    8
    11  -2.7819 -0.2537  0.9330  0.7850  1.2212  2.1842    -0.1766 -0.0664  0.8090    0.5410 -0.5319  0.1941  0.6219    1 0 0    8
    12   1.5211  0.4335 -1.2311 -1.0552 -0.5547 -0.2634    -0.0077 -0.1543  0.7436    0.4592 -0.2919 -0.0077  0.8390    0 1 1    8
    13  -2.9198 -1.0370  1.8826 -0.9867  1.2240 -0.3358     0.0275  0.0062  0.5473    0.7525  0.1228 -0.4226 -0.4900    0 0 0    8
